airportID,airport_name,city,state,country_code,locationID,
ATL,Atlanta Hartsfield_Jackson International,Atlanta,Georgia,USA,port_1,
DXB,Dubai International,Dubai,Al Garhoud,UAE,port_2,
HND,Tokyo International Haneda,Ota City,Tokyo,JPN,port_3,
LHR,London Heathrow,London,England,GBR,port_4,
IST,Istanbul International,Arnavutkoy,Istanbul,TUR,NULL,
DFW,Dallas_Fort Worth International,Dallas,Texas,USA,port_6,
CAN,Guangzhou International,Guangzhou,Guangdong,CHN,port_7,
DEN,Denver International,Denver,Colorado,USA,NULL,
LAX,Los Angeles International,Los Angeles,California,USA,NULL,
ORD,O_Hare International,Chicago,Illinois,USA,port_10,
AMS,Amsterdam Schipol International,Amsterdam,Haarlemmermeer,NLD,port_11,
CDG,Paris Charles de Gaulle,Roissy_en_France,Paris,FRA,port_12,
FRA,Frankfurt International,Frankfurt,Frankfurt_Rhine_Main,DEU,port_13,
MAD,Madrid Adolfo Suarez_Barajas,Madrid,Barajas,ESP,port_14,
BCN,Barcelona International,Barcelona,Catalonia,ESP,port_15,
FCO,Rome Fiumicino,Fiumicino,Lazio,ITA,port_16,
LGW,London Gatwick,London,England,GBR,port_17,
MUC,Munich International,Munich,Bavaria,DEU,port_18,
MDW,Chicago Midway International,Chicago,Illinois,USA,NULL,
IAH,George Bush Intercontinental,Houston,Texas,USA,port_20,
HOU,William P_Hobby International,Houston,Texas,USA,port_21,
NRT,Narita International,Narita,Chiba,JPN,port_22,
BER,Berlin Brandenburg Willy Brandt International,Berlin,Schonefeld,DEU,port_23,
